BEGIN,EntityId=103310853753,Frequency=adhoc
103310853753,SubmissionDetails,adhoc,2023-09-01,2023-09-13,2023-11-29,16:21:45
"Record Type","Charge Category Code","Charge Subcategory Code","Entity Type Code","Entity Identifier","Fund Transfer Instruction Number","Secure Bank Account Number","Settlement Currency Code","Merchant Service Fee Schedule Identifier","Payment Method Code","Interchange Qualification Code","Fee Text","Action Type Code","Unit Quantity","Unit Fee Amount","Amount","Fee Rate","Total Charge","Presentment Currency Code","ECP Program Name"
"RFIN0011","IA","IC","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","Interchange","S","7.00000000","0.02000000","0.15000000","0.02200000","-0.14000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","DI","NONE","Online Authorization","R","1.00000000","0.05000000","-0.01000000","0E-8","-0.05000000","USD",""
"RFIN0011","IA","IC","TD","463136","3187719","33679458","USD","32566788","DI","DPEC","Interchange","S","1.00000000","0.10000000","0.01000000","0.02050000","-0.10000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","","MC","","Rejected Transact","","2.00000000","0.05000000","0.02000000","0E-8","-0.10000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","MC","NONE","Online Authorization","R","3.00000000","0.05000000","-0.42000000","0E-8","-0.15000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","DPEC","Discover Data Usage","S","1.00000000","0.00250000","0.01000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MRC4","MasterCard NABU Fee","R","3.00000000","0.01950000","-0.22000000","0E-8","-0.06000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","NONE","MC Digital Enablement","R","3.00000000","0.02000000","-0.42000000","0E-8","-0.06000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","NONE","DI Digital Investment Fee","R","1.00000000","0E-8","-0.01000000","0.00010000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","Assessment","S","","0E-8","0.15000000","0.00130000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","MC Acquiring License Fee","S","7.00000000","0E-8","0.15000000","0.00004000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","NONE","Disc ntwrk Authorization Fee","S","1.00000000","0.01900000","0.01000000","0E-8","-0.02000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","","MC","","MC Excessive Auth Fee","","1,034.00000000","0.15000000","","0E-8","-155.10000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","DPV3","Assessment","R","","0E-8","-0.01000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","NONE","MC Connectivity Fee","S","3,986.00000000","0.00140000","39.94000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","NONE","DI AVS Fee","S","1.00000000","0.00500000","0.01000000","0E-8","-0.01000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","DI","NONE","Online Authorization","A","1.00000000","0.05000000","0.01000000","0E-8","-0.05000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","MC","NONE","Online Authorization","A","2,700.00000000","0.05000000","27.08000000","0E-8","-135.00000000","USD",""
"RFIN0011","IA","IC","TD","463136","3187719","33679458","USD","32566788","CZ","CRFC","Chase Merchant Discount Rate","R","1.00000000","0E-8","-17.00000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MRC4","Assessment","R","","0E-8","-0.22000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","IC","TD","463136","3187719","33679458","USD","32566788","CZ","CMCR","Chase Merchant Discount Rate","S","1.00000000","0E-8","1.00000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","MC Connectivity Fee","S","7.00000000","0.00140000","0.15000000","0E-8","0.00000000","USD",""
"RFIN0011","PFEE","DEP","TD","463136","3187719","33679458","USD","32566788","MC","MRC4","Settled Dep. Fee","R","3.00000000","0.25000000","-0.22000000","-0.00010000","-0.75000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","NONE","MasterCard NABU Fee","S","2,700.00000000","0.01950000","27.08000000","0E-8","-54.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","DPEC","Assessment","S","","0E-8","0.01000000","0.00140000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MRC4","MC Connectivity Fee","R","3.00000000","0.00140000","-0.22000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","","MC","","MC Nominal Amount Auth Fee","","1,014.00000000","0.04500000","","0E-8","-45.63000000","USD",""
"RFIN0011","PFEE","DEP","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","Settled Dep. Fee","S","7.00000000","0.25000000","0.15000000","0.00010000","-1.75000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","NONE","DI Digital Investment Fee","S","1.00000000","0E-8","0.01000000","0.00010000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","NONE","MC Connectivity Fee","R","3.00000000","0.00140000","-0.42000000","0E-8","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","MC Reporting&Infrastructure","S","7.00000000","0.00020000","0.15000000","0E-8","0.00000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","MC","MTKW","CPU Authorization","A","3.00000000","0.05000000","0.03000000","0E-8","-0.15000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","MC","NONE","CPU Authorization","V","28.00000000","0.05000000","0.00000000","0E-8","-1.40000000","USD",""
"RFIN0011","IA","IC","TD","463136","3187719","33679458","USD","32566788","MC","MRC4","Interchange","R","3.00000000","0E-8","-0.22000000","-0.01750000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","NONE","MC Digital Enablement","S","4,014.00000000","0.02000000","39.94000000","0E-8","-80.28000000","USD",""
"RFIN0011","PFEE","AUTH","TD","463136","3187719","33679458","USD","32566788","MC","NONE","Full Authorization Reversal","S","1,286.00000000","0.05000000","12.86000000","0E-8","-64.30000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","DI","DPV3","Discover Data Usage","R","1.00000000","-0.00250000","-0.01000000","0E-8","0.00000000","USD",""
"RFIN0011","PFEE","DEP","TD","463136","3187719","33679458","USD","32566788","DI","DPEC","Settled Dep. Fee","S","1.00000000","0.25000000","0.01000000","0.00010000","-0.25000000","USD",""
"RFIN0011","PFEE","DEP","TD","463136","3187719","33679458","USD","32566788","DI","DPV3","Settled Dep. Fee","R","1.00000000","0.25000000","-0.01000000","-0.00010000","-0.25000000","USD",""
"RFIN0011","IA","IC","TD","463136","3187719","33679458","USD","32566788","DI","DPV3","Interchange","R","1.00000000","0E-8","-0.01000000","-0.01750000","0.00000000","USD",""
"RFIN0011","IA","AS","TD","463136","3187719","33679458","USD","32566788","MC","NONE","MasterCard NABU Fee","R","3.00000000","0.01950000","-0.42000000","0E-8","-0.06000000","USD",""
END,EntityId=103310853753,Frequency=adhoc
