EntityIdentifier=424017,EntityName=UPG_Auto_Testing1,Frequency=adhoc,,,,,,,,,,,,,,,,,,,,,,
EntityIdentifier=424017,EntityName=UPG_Auto_Testing1,ReportTypeName=ConsumerProfile,Frequency=adhoc,FromDate=2025-09-15,ToDate=2025-09-16,GenerationDate=2025-10-06,GenerationTime=13:05:14,,,,,,,,,,,,,,,,,
Activity Timestamp,Business Unit Identifier,Company External Identifier,Company Internal Identifier,Consumer First Name,Consumer Last Name,Consumer Managed Payment Method Status,Credit Card Expiration Year Month Number,Default Payment Method Bin (First 6 Digit Card Number),Default Payment Method Bin (Last 4 Digit Card Number),Default Payment Method Code,Default Payment Method Name,Default Payment Method Type,JPMC Consumer Profile ID,Owner Merchant Identifier,Payment Method Id,Payment Method Status,Phone Number Type,Postal code,Processing Entity Country Code,Profile Email Address,Profile Status,State,Transaction Division External Identifier,Transaction Division Internal Identifier
07:27.9,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,ACTIVE,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
07:27.9,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,ACTIVE,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,425316
07:27.9,1289824,424017,990656,,,,,,,,,,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
07:27.9,1289824,424017,990656,,,,,,,,,,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
07:27.9,1289824,424017,990656,,,,,,,,,,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
07:27.9,1289824,424017,990656,,,,,,,,,,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
07:27.9,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,ACTIVE,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
07:27.9,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-TCTBCOS7SU1BDUEX,9.98E+11,,ACTIVE,MOBILE,60606,USA,6jyeeqv6@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,ACTIVE,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,ACTIVE,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,,,,,,,,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,,,,,,,,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,ACTIVE,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,,,,,,,,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,,,,,,,,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
19:14.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2I8X9DLOAE4Y6YWW,9.98E+11,,ACTIVE,MOBILE,60606,USA,9zeasam8@gmail.com,ACTIVE,AZ,1634509,424018
30:03.3,1289824,424017,990656,,,,,,,,,,JPMCW-CPC7ZHULA2BWDVX5,9.98E+11,,,MOBILE,60606,USA,090gjnk3@gmail.com,ACTIVE,AZ,1634509,424018
30:03.3,1289824,424017,990656,,,,,,,,,,JPMCW-CPC7ZHULA2BWDVX5,9.98E+11,,,MOBILE,60606,USA,090gjnk3@gmail.com,ACTIVE,AZ,1634509,424018
30:03.3,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-CPC7ZHULA2BWDVX5,9.98E+11,,ACTIVE,MOBILE,60606,USA,090gjnk3@gmail.com,ACTIVE,AZ,1634509,424018
30:03.3,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-CPC7ZHULA2BWDVX5,9.98E+11,,ACTIVE,MOBILE,60606,USA,090gjnk3@gmail.com,ACTIVE,AZ,1634509,424018
33:54.4,1289824,424017,990656,,,,,,,,,,JPMCW-Q14WQNKMPFWGJNS8,9.98E+11,,,MOBILE,60606,USA,y8bwl9em@gmail.com,ACTIVE,AZ,1634509,424018
33:54.4,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-Q14WQNKMPFWGJNS8,9.98E+11,,ACTIVE,MOBILE,60606,USA,y8bwl9em@gmail.com,ACTIVE,AZ,1634509,424018
33:54.4,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-Q14WQNKMPFWGJNS8,9.98E+11,,ACTIVE,MOBILE,60606,USA,y8bwl9em@gmail.com,ACTIVE,AZ,1634509,424018
33:54.4,1289824,424017,990656,,,,,,,,,,JPMCW-Q14WQNKMPFWGJNS8,9.98E+11,,,MOBILE,60606,USA,y8bwl9em@gmail.com,ACTIVE,AZ,1634509,424018
36:32.5,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-M1C1YJGVMVRJ81UD,9.98E+11,,ACTIVE,MOBILE,,USA,lzgxbf9g@gmail.com,ACTIVE,,1634509,424018
36:32.5,1289824,424017,990656,,,,,,,,,,JPMCW-M1C1YJGVMVRJ81UD,9.98E+11,,,MOBILE,,USA,lzgxbf9g@gmail.com,ACTIVE,,1634509,424018
36:32.5,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-M1C1YJGVMVRJ81UD,9.98E+11,,ACTIVE,MOBILE,60606,USA,lzgxbf9g@gmail.com,ACTIVE,AZ,1634509,424018
36:32.5,1289824,424017,990656,,,,,,,,,,JPMCW-M1C1YJGVMVRJ81UD,9.98E+11,,,MOBILE,60606,USA,lzgxbf9g@gmail.com,ACTIVE,AZ,1634509,424018
53:59.7,1289824,424017,990656,,,,,,,,,,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,,MOBILE,60606,USA,dmbufbdl@gmail.com,ACTIVE,AZ,1634509,424018
53:59.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,ACTIVE,MOBILE,60606,USA,dmbufbdl@gmail.com,ACTIVE,AZ,1634509,424018
53:59.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,ACTIVE,MOBILE,,USA,dmbufbdl@gmail.com,ACTIVE,,1634509,424018
53:59.7,1289824,424017,990656,,,,,,,,,,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,,MOBILE,,USA,dmbufbdl@gmail.com,ACTIVE,,1634509,424018
53:59.7,1289824,424017,990656,,,,,,,,,,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,,MOBILE,,USA,dmbufbdl@gmail.com,ACTIVE,,1634509,424018
53:59.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,ACTIVE,MOBILE,,USA,dmbufbdl@gmail.com,ACTIVE,,1634509,424018
