BEGIN,EntityId=418553,Frequency=adhoc
EntityId=418553,ReportTypeName=SubmissionDetails,Frequency=adhoc,FromDate=2025-03-03,ToDate=2025-03-04,GenerationDate=2025-03-13,GenerationTime=19:28:16
Submission Date,Presentment Currency Code,Settlement Currency Code,Transaction Division External Identifier,Payment Method Code,Merchant Order Number,Account Number,Credit Card Expiration Year Month Number,Transaction Amount in Presentment Currency,Merchant Action Code,Action Type Code Text,Authorization Date,Country of Issuance,Transaction Type Code,Transaction Type Text,Merchant Category Code,Digital Token Method Code,Digital Wallet Brand,Interchange Qualification Code,Interchange Unit Fee,Fee Rate,Total Interchange Amount,Total Assessment Amount,Other Debit Passthrough Fees,Merchant Information Description,Surcharge Amount,Bank Sort Code,Card Usage Type
3/3/2025,USD,USD,418554,VI,c4kLuNMbfSz9e8JfbpBLc5,476134XXXXXX0050,25-May,-20,RF,REFUND,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5968,3,,VRCN,0,-0.0205,0.41,-0.022,0,N,,,1
3/3/2025,USD,USD,418554,VI,IWQsedT5ScGtkvMaafz4QQ,444442XXXXXX4440,25-Jun,10,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-0.515,-0.1169,0,N,,,1
3/3/2025,USD,USD,418554,VI,1004539327,411234XXXXXX4113,25-Jun,1.06,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V105,0.1,0.0315,-0.13339,-0.103584,0,N,,,1
3/3/2025,USD,USD,418554,VI,4NgHoECUUfzVu8qStEmCG3,476134XXXXXX0050,25-May,-20,RF,REFUND,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5968,3,,VRCN,0,-0.0205,0.41,-0.022,0,N,,,1
3/3/2025,USD,USD,418554,VI,1002550940,424242XXXXXX4242,26-Jan,1.06,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V105,0.1,0.0315,-0.13339,-0.103584,0,N,,,1
3/3/2025,USD,USD,418554,VI,0KIp6B71RXyVSiYaxdGl3g,444442XXXXXX4440,25-Jun,-5,RF,REFUND,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5968,0,,VRCM,0,-0.0235,0.1175,-0.022,0,N,,,1
3/3/2025,USD,USD,418554,VI,IMKFZhGUVso4YvFTNVtv2G,444442XXXXXX4440,25-Jun,100,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-3.35,-0.2429,0,N,,,1
3/3/2025,USD,USD,418554,VI,LwDbwXAwpTQqkn65iTRryk,476134XXXXXX0050,25-May,-20,RF,REFUND,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5968,3,,VRCN,0,-0.0205,0.41,-0.022,0,N,,,1
3/3/2025,USD,USD,418554,VI,wV37LgnOSbuVfSP7XJe3UQ,444442XXXXXX4440,25-Jun,-5,RF,REFUND,3/2/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5968,0,,VRCM,0,-0.0235,0.1175,-0.022,0,N,,,1
3/3/2025,USD,USD,418554,VI,NONyc8S6TH66FipXZoJjjw,444442XXXXXX4440,25-Jun,155,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-5.0825,-0.3199,0,N,,,1
3/3/2025,USD,USD,418554,VI,RrhBUjvHQ8GXaDdfaXu3Bg,444442XXXXXX4440,25-Jun,10,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-0.515,-0.1169,0,N,,,1
3/3/2025,USD,USD,418554,VI,Q7Tl3tSMTxGBsYCo90QaUA,444442XXXXXX4440,25-Jun,-5,RF,REFUND,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5968,0,,VRCM,0,-0.0235,0.1175,-0.022,0,N,,,1
3/3/2025,USD,USD,418554,VI,Zb90gGxBQumfYrBmBZbFkQ,444442XXXXXX4440,25-Jun,10,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-0.515,-0.1169,0,N,,,1
3/3/2025,USD,USD,418554,VI,PZsHhNajHdW6RKV4brK8L7,444442XXXXXX4440,25-Jun,100,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-3.35,-0.2429,0,N,,,1
3/3/2025,USD,USD,418554,VI,HPUVMCoGjvfLkpT3P0BgUZ,444442XXXXXX4440,25-Jun,100,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-3.35,-0.2429,0,N,,,1
3/3/2025,USD,USD,418554,VI,8tn0EW51REOITcZbb2GPfg,444442XXXXXX4440,25-Jun,21000.2,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-661.7063,-29.50318,0,N,,,1
3/3/2025,USD,USD,418554,VI,pSVugZouQy69H3f14ueQaA,444442XXXXXX4440,25-Jun,5,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-0.3575,-0.1099,0,N,,,1
3/3/2025,USD,USD,418554,VI,5pYW5646Cz8p8ngpPkt6oP,444442XXXXXX4440,25-Jun,100,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-3.35,-0.2429,0,N,,,1
3/3/2025,USD,USD,418554,VI,zdX1SGCKQXOxjYnBUy0EtA,444442XXXXXX4440,25-Jun,10,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-0.515,-0.1169,0,N,,,1
3/3/2025,USD,USD,418554,VI,1001787231,411234XXXXXX4113,25-Nov,1.06,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V105,0.1,0.0315,-0.13339,-0.103584,0,N,,,1
3/3/2025,USD,USD,418554,VI,OVaFoR9oS7CcYHYOlXxeIg,444442XXXXXX4440,25-Jun,10,DP,SALE,3/3/2025,US,7,ECI Indicator - Channel Encrypted Transaction,5962,0,,V148,0.2,0.0315,-0.515,-0.1169,0,N,,,1
