Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Détailsdesfrais,Fréquence=ponctuel,Du [date]=2025-10-08,AU [date]=2025-10-30,Date de génération=2025-11-17,Durée d’une génération=11:10:51
"Date d’activité","Code de type d’entité","Identificateur de l’entité","Code du mode de paiement","Numéro de commande de commerçant","Code de devise de la présentation","Code de devise de règlement","Taux de change","Texte de la catégorie de transfert de fonds","Identificateur de transfert de fonds","Numéro d’instruction de transfert de fonds","Date d’entrée en vigueur du transfert de fonds","Numéro de référence de l’acquéreur","Numéro de compte","Code de remboursement de la vente","Code de type d’action","Numéro de compte bancaire sécurisé","Montant de présentation","Montant de présentation en devise de règlement","Montant net des ventes réglées","Frais d’évaluation et d’interchange","Ajustements de la retenue de l’impôt de réserve","Ajustements de la rétrofacturation","Frais d’escompte","Ajustements de retours ECP","Autres ajustements","Frais de traitement","Ajustements des réserves","Autres frais","Activité financière nette"
"2025-10-09","TD","424018","VI","kXiGpf2iiluDbo1t2joBeM","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411234XXXXXX4113","S","SALE","34876997","22.00000000","22.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"2025-10-09","TD","424018","VI","mRS1WPdn5oaPgCZwvZXUaO","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411234XXXXXX4113","S","AUTH","34876997","22.00000000","22.00000000","0.00000000","-0.08500000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.50500000","0.00000000","0.00000000","-0.59000000"
"2025-10-09","TD","424018","VI","ld525PLbiz9L47EKCnXZ3z","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411234XXXXXX4113","R","REFUND","34876997","-40.00000000","-40.00000000","-80.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-80.00000000"
"2025-10-09","TD","424018","VI","KMXQ20YI3PCRFdlpjOCxZV","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","476134XXXXXX0050","R","REFUND","34876997","-20.00000000","-20.00000000","-40.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-40.00000000"
"2025-10-09","TD","424018","VI","yvsJT9DUCs9l5ob1zCK3Xs","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411234XXXXXX4113","S","SALE","34876997","22.00000000","22.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"2025-10-09","TD","424018","VI","1oeHTzh5wrvCFJr8ihtmV0","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411234XXXXXX4113","S","SALE","34876997","22.00000000","22.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"2025-10-09","TD","424018","VI","3fRyNJHhv8u0za61F5IJJ3","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411436XXXXXX6785","S","AUTH","34876997","10.00000000","10.00000000","0.00000000","-0.05000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.17000000","0.00000000","0.00000000","-0.22000000"
"2025-10-09","TD","424018","VI","KVYuPoXj2yev3tZTNYm4we","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","24692165279100876775327","411234XXXXXX4113","S","SALE","34876997","22.00000000","22.00000000","22.00000000","-0.53000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01833333","0.00000000","0.00000000","21.45166667"
"2025-10-09","TD","424018","VI","1O1JW9Cj9vBI7yW4uJlBx3","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411436XXXXXX6785","R","REFUND","34876997","-10.00000000","-10.00000000","-20.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-20.00000000"
"2025-10-09","TD","424018","VI","XyKLIYKRefSSEwYtRvV5G6","USD","USD","1.000000000","Transfert de fonds en vigueur","1136595901","4385280","2025-10-08","","411234XXXXXX4113","S","SALE","34876997","20.00000000","20.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
