Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Détailsdelasoumission,Fréquence=ponctuel,Du [date]=2025-10-23,AU [date]=2025-10-30,Date de génération=2025-11-10,Durée d’une génération=15:13:50
"Date d’activité","Code de type d’entité","Identificateur de l’entité","Numéro de commande de commerçant","Code du mode de paiement","Code de devise de la présentation","Code de devise de règlement","Taux de change","Numéro d’instruction de transfert de fonds","Montant de la transaction dans la devise de présentation","Montant de la transaction en devise de règlement","Montant du dépôt réglé","Frais d’évaluation et d’interchange","Ajustements de la retenue de l’impôt de réserve","Ajustements de la rétrofacturation","Frais d’escompte","Ajustements de retours ECP","Autres ajustements","Frais de traitement","Ajustements des réserves","Autres","Activité financière nette"
"2025-10-24","TD","424018","ziUxKyVofONwEZ9qZp7hRp","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-24","TD","424018","ym2XQStAzEEiBsiHeiMsF6","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","LwuJvRMQJ55QvqO7bNjics","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-29","TD","424018","FOYKLyhB9TyFfVDn3SkSBW","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-27","TD","424018","auzDlD4n7JHAeBA5tcy0z6","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.06750000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.08500000"
"2025-10-27","TD","424018","dMcmwdi2QiWaCDwAaYJFk2","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.58910000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.05250000","0.00000000","0.00000000","64.35840000"
"2025-10-27","TD","424018","kfML1y4abvjVldmxjR3p2b","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-29","TD","424018","N8zaB2HbVi8GrBSfkY2eU0","VI","USD","USD","1.000000000","4385280","100.00000000","100.00000000","100.00000000","-2.17280000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.20250000","0.00000000","0.00000000","97.62470000"
"2025-10-27","TD","424018","v9hE5WqlBTL204vG99n9OI","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.04957500","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.21707500"
"2025-10-24","TD","424018","aoyuoNtCL39bLoC3Mv9So4","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.04900000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.21650000"
"2025-10-24","TD","424018","RLcKI6r9OesyTj6kiBD03P","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
