Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Multiple,Fréquence=ponctuel,Du [date]=2025-10-23,AU [date]=2025-10-30,Date de génération=2025-11-10,Durée d’une génération=15:13:17
"Type de dossier","Code de devise de la présentation","Code de devise de règlement","Code du mode de paiement","Code de qualification d’interchange","Texte de qualification d’interchange","Taux des frais","Montant des frais de service","Nombre de ventes","Pourcentage de nombre","Montant des ventes","Pourcentage de montant"
"Résumé de la qualification à l’interchange","USD","USD","VI","V105","Visa Non-Qualified Consumer Credit","0.03150000","0.100000000","189","0.03780756151","-10070.15000000","0.08986995912"
"Résumé de la qualification à l’interchange","USD","USD","VI","V231","Visa Business Tier 1 - Product 1 - CNP","0.02650000","0.100000000","570","0.1140228046","-15444.74000000","0.1378349034"
"Résumé de la qualification à l’interchange","USD","USD","VI","V234","Visa Corporate Card - Card Not Present","0.02700000","0.100000000","177","0.03540708142","-4869.73000000","0.04345937608"
"Résumé de la qualification à l’interchange","USD","USD","VI","V237","Visa Purchasing Card - Card Not Present","0.02700000","0.100000000","23","0.004600920184","-307.36000000","0.002743000912"
"Résumé de la qualification à l’interchange","USD","USD","VI","V338","Visa Debit & Prepaid Regulated","0.00050000","0.220000000","400","0.0800160032","-11510.65000000","0.1027255448"
"Résumé de la qualification à l’interchange","ARS","USD","VI","V987","Visa Interregional Non-Premium Card Not Present","0.01600000","0.000000000","420","0.08401680336","-8.22000000","7.335849655e-05"
"Résumé de la qualification à l’interchange","CLP","USD","VI","V987","Visa Interregional Non-Premium Card Not Present","0.01600000","0.000000000","418","0.08361672334","-1331.26000000","0.01188068517"
"Résumé de la qualification à l’interchange","COP","USD","VI","V987","Visa Interregional Non-Premium Card Not Present","0.01600000","0.000000000","418","0.08361672334","4.47000000","-3.989202914e-05"
"Résumé de la qualification à l’interchange","USD","USD","VI","V987","Visa Interregional Non-Premium Card Not Present","0.01600000","0.000000000","12","0.002400480096","-108.24000000","0.0009659761151"
"Résumé de la qualification à l’interchange","MXN","USD","VI","V989","Visa Interregional Business Card Not Present","0.02000000","0.000000000","480","0.09601920384","-786.75000000","0.007021264861"
"Résumé de la qualification à l’interchange","PEN","USD","VI","V989","Visa Interregional Business Card Not Present","0.02000000","0.000000000","432","0.08641728346","-15079.90000000","0.1345789285"
"Résumé de la qualification à l’interchange","USD","USD","VI","V989","Visa Interregional Business Card Not Present","0.02000000","0.000000000","34","0.006801360272","-3585.95000000","0.03200242101"
"Résumé de la qualification à l’interchange","USD","USD","VI","V991","Visa Interregional Corporate Card Not Present","0.02000000","0.000000000","29","0.005801160232","-356.24000000","0.003179225159"
"Résumé de la qualification à l’interchange","USD","USD","VI","VC1V","Visa Global B2B Virtual CommercialChoice Travel-Prog 19","0.00000000","0.000000000","2","0.000400080016","40.00000000","-0.0003569756523"
"Résumé de la qualification à l’interchange","USD","USD","VI","VCEB","Visa CPS E-Commerce Basic","0.01800000","0.100000000","1100","0.2200440088","-37998.40000000","0.3391125907"
"Résumé de la qualification à l’interchange","USD","USD","VI","VPDM","Visa CPS Card Not Present","0.01800000","0.100000000","295","0.05901180236","-10639.34000000","0.09494963341"
"Résumé de la qualification à l’interchange","USD","USD","MC","MCSF","MasterCard Consumer Credit Full UCAF","0.01950000","0.100000000","14","0.00272851296","-1400.00000000","0.008526125266"
"Résumé de la qualification à l’interchange","ARS","USD","MC","MHB2","MCInterregional Consumer Rate 3 Base - Core","0.01650000","0.000000000","450","0.0877022023","-8.70000000","5.298377844e-05"
"Résumé de la qualification à l’interchange","COP","USD","MC","MHB2","MCInterregional Consumer Rate 3 Base - Core","0.01650000","0.000000000","447","0.08711752095","4.63000000","-2.819711427e-05"
"Résumé de la qualification à l’interchange","MXN","USD","MC","MHB2","MCInterregional Consumer Rate 3 Base - Core","0.01650000","0.000000000","569","0.1108945625","-943.26000000","0.005744537799"
"Résumé de la qualification à l’interchange","PEN","USD","MC","MHB2","MCInterregional Consumer Rate 3 Base - Core","0.01650000","0.000000000","22","0.004287663224","-576.22000000","0.003509231358"
"Résumé de la qualification à l’interchange","USD","USD","MC","MHB2","MCInterregional Consumer Rate 3 Base - Core","0.01650000","0.000000000","6","0.001169362697","-18.12000000","0.0001103524213"
"Résumé de la qualification à l’interchange","USD","USD","MC","MHB4","MC Interregional Consumer Rate 3 Card Present Super Premium","0.02030000","0.000000000","198","0.03858896901","-56897.56000000","0.3465112313"
"Résumé de la qualification à l’interchange","USD","USD","MC","MIP","MasterCard International Commercial Purchasing","0.02000000","0.000000000","352","0.06860261158","-9344.79000000","0.05691060723"
"Résumé de la qualification à l’interchange","CLP","USD","MC","MIPU","MasterCard Interregional Commercial Premium Standard","0.02000000","0.000000000","449","0.08750730852","-1415.64000000","0.008621374265"
"Résumé de la qualification à l’interchange","USD","USD","MC","MIPU","MasterCard Interregional Commercial Premium Standard","0.02000000","0.000000000","17","0.003313194309","-170.00000000","0.001035315211"
"Résumé de la qualification à l’interchange","PEN","USD","MC","MM1","MasterCard Merit 1","0.01950000","0.100000000","326","0.06353537322","-13073.50000000","0.07961878476"
"Résumé de la qualification à l’interchange","USD","USD","MC","MM1","MasterCard Merit 1","0.01950000","0.100000000","1210","0.2358214773","-37151.38000000","0.2262552283"
"Résumé de la qualification à l’interchange","USD","USD","MC","MM1D","MasterCard Merit 1 Debit","0.01650000","0.150000000","715","0.1393490548","-28520.00000000","0.1736893518"
"Résumé de la qualification à l’interchange","PEN","USD","MC","MSI","MasterCard Service Industries","0.01150000","0.050000000","60","0.01169362697","-3733.80000000","0.02273917608"
"Résumé de la qualification à l’interchange","USD","USD","MC","MSI","MasterCard Service Industries","0.01150000","0.050000000","187","0.0364451374","-10438.17000000","0.06356938926"
"Résumé de la qualification à l’interchange","USD","USD","MC","MStd","MasterCard Standard","0.03150000","0.100000000","2","0.0003897875658","-200.00000000","0.001218017895"
"Résumé de la qualification à l’interchange","PEN","USD","MC","MTKV","MC Small Ticket Card Not Present Core","0.01950000","0.020000000","54","0.01052426428","-143.05000000","0.0008711872995"
"Résumé de la qualification à l’interchange","USD","USD","MC","MTKV","MC Small Ticket Card Not Present Core","0.01950000","0.020000000","53","0.01032937049","-171.64000000","0.001045302958"
"Résumé de la qualification à l’interchange","USD","USD","JC","D462","Discover Prime Submission Level E-commerce - Premium","0.02050000","0.100000000","235","0.9751037344","-7026.20000000","0.9940410168"
"Résumé de la qualification à l’interchange","USD","USD","JC","DPRP","Discover Prime Submission Level Recurring Payments - Premium","0.01450000","0.050000000","6","0.02489626556","-42.12000000","0.005958983181"
"Résumé de la qualification à l’interchange","USD","USD","DI","D460","Discover Prime Submission Level E-commerce - Rewards","0.02030000","0.100000000","44","0.1848739496","-792.00000000","0.1193378557"
"Résumé de la qualification à l’interchange","USD","USD","DI","D463","Discover Prime Submission Level E-commerce - Core","0.01910000","0.100000000","188","0.7899159664","-5814.50000000","0.8761236895"
"Résumé de la qualification à l’interchange","USD","USD","DI","DCRP","Discover Prime Submission Level Recurring Payments - Rewards","0.01350000","0.050000000","6","0.02521008403","-30.12000000","0.004538454816"
"Résumé de la qualification à l’interchange","USD","USD","DD","D811","Discover International Commercial","0.01900000","0.100000000","233","0.9748953975","-6393.70000000","0.9897644207"
"Résumé de la qualification à l’interchange","USD","USD","DD","DCSL","Discover Commercial Electronic Program","0.02450000","0.150000000","6","0.02510460251","-66.12000000","0.01023557932"
"Type de dossier","Identificateur de l’entité","Code de devise de la présentation","Code de devise de règlement","Code du mode de paiement","Numéro de commande de commerçant","Code de qualification d’interchange","Code de la raison de déclassement","Texte de la raison de déclassement","Numéro de compte","Date de dépôt","Montant","Numéro de référence de l’acquéreur","Type d’utilisation de la carte"
"Interchange Qualification Details","424018","USD","USD","DD","Ns4KmzML3uK53Lf07jZUYp","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-24.00000000","26201445300110123769112",""
"Interchange Qualification Details","424018","USD","USD","DD","ARpk9DhQCGLXi3rW5ir3EG","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-21.00000000","26201445296110123326117",""
"Interchange Qualification Details","424018","USD","USD","DD","2Al0D8sdtmWf83iAkph23d","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-24","-21.00000000","26201445297110123378067",""
"Interchange Qualification Details","424018","USD","USD","DD","4GpGzFd1Smn7ZNyiP94uYf","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-24.00000000","26201445296110123239914",""
"Interchange Qualification Details","424018","USD","USD","DD","MK62YNhgdaKwwtTodkmSdL","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-34.20000000","26201445296110123326109",""
"Interchange Qualification Details","424018","USD","USD","DD","JwWvLTgZot0fSnkqwU3bWK","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-21.00000000","26201445300110123735261",""
"Interchange Qualification Details","424018","USD","USD","DD","gnIp5oMcqnB8Bc5VBUIMXC","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-26","-34.00000000","26201445299110123664969",""
"Interchange Qualification Details","424018","USD","USD","DD","GLHJai7KSdSJF5n54qZyf4","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-24.30000000","26201445300110123769070",""
"Interchange Qualification Details","424018","USD","USD","DD","reZeI8lJnH4YQxwBTpZY86","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-34.00000000","26201445300110123720644",""
"Interchange Qualification Details","424018","USD","USD","DD","3BPA4x3d45GAtccimMynQW","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-34.20000000","26201445296110123324161",""
"Interchange Qualification Details","424018","USD","USD","DD","3fZaU1X1vNRuQRqo5UOH9M","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-29","-34.00000000","26201445302110123976616",""
"Interchange Qualification Details","424018","USD","USD","DD","wUV38ADIWuroSULqfaiBlO","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-24","-24.30000000","26201445297110123378059",""
"Interchange Qualification Details","424018","USD","USD","DD","LT6Ci8iyaIXFY4fO7L93Tn","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-28","-34.00000000","26201445301110123864318",""
"Interchange Qualification Details","424018","USD","USD","DD","dt21Jgty7Pf277Ae9pMU0Y","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-34.20000000","26201445296110123239906",""
"Interchange Qualification Details","424018","USD","USD","DD","NZDyF3GzB1rnFHDsgFQG7B","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-34.20000000","26201445300110123770946",""
"Interchange Qualification Details","424018","USD","USD","DD","NjF1OBwOcNcwh2zrUfRnvw","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-29","-34.20000000","26201445302110123976624",""
"Interchange Qualification Details","424018","USD","USD","DD","xTX5DPXLUGqD3daKgJciLM","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-28","-24.00000000","26201445301110123845531",""
"Interchange Qualification Details","424018","USD","USD","DD","pm77lN5g8PmtJhhLdzq7uY","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-24.30000000","26201445296110123239922",""
"Interchange Qualification Details","424018","USD","USD","DD","lWua9IEV3glLaPVhUx1zaO","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-24.00000000","26201445300110123720628",""
"Interchange Qualification Details","424018","USD","USD","DD","ZaYD4NL76l0hB3qiMc3rwD","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-29","-24.30000000","26201445302110123979743",""
"Interchange Qualification Details","424018","USD","USD","DD","1ZfOTLbASLMpXjTXNEzzAR","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-21.00000000","26201445296110123239930",""
"Interchange Qualification Details","424018","USD","USD","DD","65RPqsZk2rFLMwT8iJqOZV","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-24","-34.00000000","26201445297110123378026",""
"Interchange Qualification Details","424018","USD","USD","DD","BH72b9crn4I5T8tJkUpQb4","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-34.00000000","26201445296110123326091",""
"Interchange Qualification Details","424018","USD","USD","DD","TfIkLolJtjSvvktc2eHbcO","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-28","-21.00000000","26201445301110123864359",""
"Interchange Qualification Details","424018","USD","USD","DD","kS8p7vnPtoyv40o6pPdKl9","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-24","-34.20000000","26201445297110123378802",""
"Interchange Qualification Details","424018","USD","USD","DD","duh7NZxD4KRK2UwKNQXu3F","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-24","-34.20000000","26201445297110123378034",""
"Interchange Qualification Details","424018","USD","USD","DD","vHXJlbJX2Y2mY5e84r2kd0","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-24.30000000","26201445296110123234311",""
"Interchange Qualification Details","424018","USD","USD","DD","ZUIkD7Ui0SyVV0zxEFQkEN","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-28","-24.00000000","26201445301110123864342",""
"Interchange Qualification Details","424018","USD","USD","DD","iUuX1KQEVOmAvNsHAzPXa5","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-29","-34.20000000","26201445302110123979768",""
"Interchange Qualification Details","424018","USD","USD","DD","WcmzhOrfBoji3diowRq319","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-29","-24.30000000","26201445302110123976566",""
"Interchange Qualification Details","424018","USD","USD","DD","Nh3tjf8ROFp7LC2ceLPRX5","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-23","-22.00000000","26201445296110123212853",""
"Interchange Qualification Details","424018","USD","USD","DD","23Nu4C6ZgTfCIIFC64a4wK","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-24.00000000","26201445300110123770979",""
"Interchange Qualification Details","424018","USD","USD","DD","uYM9lq3TXfcJ2sCHTNGLOK","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-34.20000000","26201445300110123720636",""
"Interchange Qualification Details","424018","USD","USD","DD","BP0YMrZ4gx7lHB1fqkEhH2","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-22.00000000","26201445300110123693791",""
"Interchange Qualification Details","424018","USD","USD","DD","Dk2h8S4Gjgo76Fr70SSxfP","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-28","-21.00000000","26201445301110123845499",""
"Interchange Qualification Details","424018","USD","USD","DD","sjvNXz6l49C5Xu4eTzRKEf","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-27","-24.30000000","26201445300110123720651",""
"Interchange Qualification Details","424018","USD","USD","DD","58msCVAtXhQCBh5nVdSmmE","D811","-1","Non configuré - ne s’applique pas","XXXXXXXXXX8936","2025-10-29","-34.20000000","26201445302110123976590",""
