Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Multiple,Fréquence=ponctuel,Du [date]=2025-09-02,AU [date]=2025-09-06,Date de génération=2025-11-14,Durée d’une génération=14:16:29
"Type de dossier","Identificateur externe de la division des transactions","Code de type de différend","Catégorie","Code financier non-financier","Nombre","Montant de la devise de présentation","Code de devise de la présentation","Montant en devise de règlement","Code de devise de règlement"
"Dispute Summary","424018","CB","OPAACCEPT","FIN","-6","-435.52000000","USD","-435.52000000","USD"
"Dispute Summary","424018","CB","OPADENY","NON","34","3548.98000000","USD","3548.98000000","USD"
"Dispute Summary","424018","CB","OPAREQ","NON","-1","-67.95000000","USD","-67.95000000","USD"
"Dispute Summary","424018","CB","RECD","FIN","129","14030.82000000","USD","14030.82000000","USD"
"Dispute Summary","424018","CB","RECRS","NON","16","2697.00000000","USD","2697.00000000","USD"
"Dispute Summary","424018","CB","REPR","FIN","-17","-2851.13000000","USD","-2851.13000000","USD"
"Dispute Summary","424018","CB","RTM","NON","-133","-14816.59000000","USD","-14816.59000000","USD"
"Type de dossier","Identificateur externe de la division des transactions","Numéro de séquence de la transaction en différend","Code de type de différend","Catégorie","Montant de la devise de présentation du différend de l’émetteur","Montant en devise de présentation de l’action actuelle","Code de devise de la présentation","Numéro de commande de commerçant","Numéro de compte","Nom du consommateur","Code du mode de paiement","Code de raison du différend de la marque de paiement","Texte de raison du différend de la marque de paiement","Classification de la catégorie de raison ECP","Texte de classification de la catégorie de raison ECP","Date de transaction","Date de début de différend","Date d’activité","Date d’échéance de différend","Code d’utilisation de différend","Méthode d’autorisation du titulaire de compte","Texte de la méthode d’autorisation du titulaire de compte","Numéro de référence de l’acquéreur","Montant de la devise de règlement du différend de l’émetteur","Montant en devise de règlement de l’action actuelle","Code de devise de règlement","Date d’autorisation","Code d’action","Indicateur de crédit débit du titulaire de la carte","Numéro d’ajustement","Numéro de billet","Code de l’indicateur d’état","Code de méthode du jeton numérique","Indicateur de rétrofacturations groupées potentielles"
"DisputeDetails","424018","783144828","CB","OPAACCEPT","-165.59000000","-165.59000000","USD","M3GL8L87EPAYE03","410017XXXXXX0980","","CR","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-08-07","2025-08-08","2025-09-04","2025-08-26","9","","","24510735219102700000000","-165.59000000","-165.59000000","USD","2025-08-07 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","783145111","CB","OPAACCEPT","-94.74000000","-94.74000000","USD","BLFW8L77EPAYD01","409285XXXXXX3050","","CR","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-08-06","2025-08-08","2025-09-04","2025-08-26","9","","","24510735218101700000000","-94.74000000","-94.74000000","USD","2025-08-06 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","786929794","CB","OPAACCEPT","-39.62000000","-39.62000000","USD","7VLF8HY7EPAYK02","401411XXXXXX8600","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-05-27","2025-08-25","2025-09-04","2025-09-02","9","","","24692165147102700000000","-39.62000000","-39.62000000","USD","2025-05-27 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","786930361","CB","OPAACCEPT","-45.19000000","-45.19000000","USD","MLGM8HR7EPAYE32","438877XXXXXX2898","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-05-24","2025-08-25","2025-09-04","2025-09-02","9","","","24692165144109200000000","-45.19000000","-45.19000000","USD","2025-05-23 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","786930364","CB","OPAACCEPT","-45.19000000","-45.19000000","USD","59W58JS7EPAYK43","438877XXXXXX2898","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-06-26","2025-08-25","2025-09-04","2025-09-02","9","","","24692165177106000000000","-45.19000000","-45.19000000","USD","2025-06-25 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","786930368","CB","OPAACCEPT","-45.19000000","-45.19000000","USD","QZJZ8KR7EPAYO51","438877XXXXXX2898","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-07-25","2025-08-25","2025-09-04","2025-09-02","9","","","24692165206103800000000","-45.19000000","-45.19000000","USD","2025-07-25 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","781002801","CB","OPADENY","191.05000000","191.05000000","USD","MN5Y8JS7EPAYK02","433278XXXXXX9060","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-06-23","2025-07-28","2025-09-04","2025-08-15","9","","","24692165174103400000000","191.05000000","191.05000000","USD","2025-06-22 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","781252336","CB","OPADENY","75.23000000","75.23000000","USD","31R08J27EPAYO03","493447XXXXXX8933","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-06-01","2025-07-29","2025-09-04","2025-08-16","9","","","24692165152106300000000","75.23000000","75.23000000","USD","2025-05-31 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","782166750","CB","OPADENY","37.48000000","37.48000000","USD","FW728K17EPAYS03","464457XXXXXX6392","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-07-01","2025-08-03","2025-09-04","2025-08-21","9","","","24692165182100700000000","37.48000000","37.48000000","USD","2025-06-30 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","782914431","CB","OPADENY","65.33000000","65.33000000","USD","JM0N8H87EPAYP02","433187XXXXXX3487","","CR","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-05-06","2025-08-06","2025-09-04","2025-08-24","9","","","24510735126103700000000","65.33000000","65.33000000","USD","2025-05-06 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","783058461","CB","OPADENY","87.78000000","87.78000000","USD","SRH88HN7EPAYB01","432803XXXXXX2036","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-05-19","2025-08-07","2025-09-04","2025-08-25","9","","","24692165139104600000000","87.78000000","87.78000000","USD","2025-05-18 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","783058462","CB","OPADENY","90.78000000","90.78000000","USD","5RGC8JQ7EPAYI01","432803XXXXXX2036","","VI","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-06-22","2025-08-07","2025-09-04","2025-08-25","9","","","24692165173102500000000","90.78000000","90.78000000","USD","2025-06-20 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","783118098","CB","OPADENY","55.58000000","55.58000000","USD","P5808L77EPAYD02","431622XXXXXX7728","","CR","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-08-06","2025-08-07","2025-09-04","2025-08-25","9","","","24510735218101700000000","55.58000000","55.58000000","USD","2025-08-06 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","783121067","CB","OPADENY","65.74000000","65.74000000","USD","DWVH8KQ7EPAYN01","404801XXXXXX0873","","CR","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-07-21","2025-08-07","2025-09-04","2025-08-25","9","","","24510735202100000000000","65.74000000","65.74000000","USD","2025-07-21 00:00:00.000","","","","","","3",""
"DisputeDetails","424018","783318947","CB","OPADENY","43.74000000","43.74000000","USD","BBLN8L87EPAYE01","409637XXXXXX4120","","CR","10.4","TRANSACTION FRAUDULEUSE - SANS CARTE","","","2025-08-07","2025-08-09","2025-09-04","2025-08-27","9","","","24510735219102700000000","43.74000000","43.74000000","USD","2025-08-07 00:00:00.000","","","","","","3",""
